"last_name, first_name","player_id","year","player_age","pa","k_percent","bb_percent","batting_avg","on_base_percent","on_base_plus_slg","b_gnd_into_dp","xba","woba","xwoba","avg_swing_speed","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","poorlyweak_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","hp_to_1b","sprint_speed"
"Luciano, Marco",682617,2024,22,81,34.6,6.2,".211",".259","0.562","1",".241",".248",".285","73.7","87.9",41.7,6.3,14.6,4.2,45.8,"100.643494583","94.575629375",30.1,41.8,"4.53","27.5"
"Rojas, Miguel",500743,2024,35,337,10.1,6.8,".283",".337","0.747","8",".283",".327",".314","67.8","85",33.2,2.5,2.2,7.6,27.8,"96.317826471","92.174445609",13.9,46.5,"4.65","25.8"
"Julks, Corey",667452,2024,28,189,26.5,7.9,".214",".275","0.581","6",".213",".260",".265","70.7","84.9",33.9,3.2,4.8,4,29,"96.954618226","92.479937742",25.9,45.8,"4.38","28.5"
"Davis, Henry",680779,2024,24,122,36.9,10.7,".144",".242","0.454","1",".156",".213",".226","72.5","85.3",29,4.8,6.5,11.3,35.5,"97.637210645","92.897598852",36.3,47,"4.49","27.7"
"McCarthy, Jake",664983,2024,26,495,15.8,6.3,".285",".349","0.749","4",".265",".329",".311","67.3","84.5",30.4,2.7,4.3,10.2,24.5,"95.637290857","91.834529486",17.6,49.3,"4.2","29.8"
"Perkins, Blake",663368,2024,27,434,24.9,9.7,".240",".316","0.648","3",".218",".288",".275","69.4","88.8",32,3.9,6,6,37.7,"97.789208222","93.114376074",27.1,42.4,"4.18","29.6"
"Murphy, Sean",669221,2024,29,264,25.4,10.2,".193",".284","0.636","7",".214",".281",".308","73.2","88",25.7,9.6,4.2,6,36.5,"99.757961548","94.022077485",28.4,45.6,"4.85","25.2"
"LeMahieu, DJ",518934,2024,35,228,15.4,8.3,".204",".269","0.528","13",".244",".239",".299","67.3","88.5",31.8,5.8,7.5,2.9,37.6,"98.271498488","93.240584302",17.5,44.6,"4.71","26.1"
"Bell, Josh",605137,2024,31,603,19.9,8.5,".249",".319","0.724","22",".239",".317",".310","70.4","88.9",31.4,7.6,6.2,4.3,40.1,"100.078711292","94.16958744",26.8,48.8,"4.75","25.4"
"Urías, Luis",649966,2024,27,109,31.2,8.3,".191",".303","0.697","2",".206",".309",".318","68.3","87.1",43.3,11.7,6.7,6.7,35,"99.362572667","93.8120925",23.1,46.9,"4.61","26.0"
"Walker, Christian",572233,2024,33,552,24.1,10,".251",".335","0.803","12",".246",".343",".351","75","91.2",35,13.3,7.1,3.1,48,"103.127969548","96.011102521",25.6,48,"4.68","26.2"
"Tucker, Kyle",663656,2024,27,339,15.9,16.5,".289",".408","0.993","5",".279",".419",".400","72.1","91.1",40,12.9,7.6,1.8,44.9,"100.157901947","94.740150044",19,41.8,"4.52","26.0"
"Wood, James",695578,2024,21,336,28.9,11.6,".264",".354","0.781","1",".269",".342",".351","73.9","92.8",31.3,10.6,6.1,3.5,52,"104.677013333","97.028448782",29.6,38.2,"4.18","28.7"
"Abrams, CJ",682928,2024,23,602,21.3,6.6,".246",".314","0.747","4",".247",".322",".319","72.2","88.2",33,6.9,9.6,4.3,40.7,"99.496479615","93.910198048",24.7,53.3,"4.26","28.5"
"Refsnyder, Rob",608701,2024,33,307,25.4,9.1,".283",".359","0.830","6",".252",".358",".326","72.8","89.6",32.8,9.7,4.6,4.6,43.1,"101.623071856","95.034267165",28.1,46.2,"4.46","27.3"
"Turner, Trea",607208,2024,31,539,18.2,5,".295",".338","0.807","10",".264",".349",".318","71.7","89.1",30.9,6.9,5.6,2.7,40.7,"99.706063382","94.073107543",26.1,53.7,"4.22","29.6"
"Hicks, Aaron",543305,2024,34,63,36.5,9.5,".140",".222","0.415","1",".192",".196",".248","68.1","87.5",32.4,5.9,8.8,2.9,35.3,"99.638573529","94.12647",32.8,44,,"27.0"
"Abreu, Wilyer",677800,2024,25,447,28,8.9,".253",".322","0.781","7",".229",".336",".317","74.6","91.6",33.7,11.1,7.5,1.4,50.5,"101.945020507","95.552365543",29.6,48.1,"4.38","27.5"
"Nootbaar, Lars",663457,2024,26,405,19.5,12.8,".244",".342","0.759","10",".264",".331",".355","72.6","91.8",32.2,9.9,8.1,3.3,49.5,"102.282162353","95.717855683",19,37.2,"4.36","27.0"
"Chapman, Matt",656305,2024,31,647,24.4,9.9,".247",".328","0.791","13",".250",".340",".341","76.6","93.2",31.3,12.6,8.1,3.1,48.3,"104.356012981","96.727633301",23.5,44.6,"4.4","28.7"
"García, Luis",671277,2024,24,528,16.3,5.1,".282",".318","0.762","12",".278",".328",".331","71.7","89.1",32.8,8,5.8,3.9,41.7,"100.167127696","94.249397672",21.3,51.7,"4.28","27.2"
"Clement, Ernie",676391,2024,28,452,9.1,2.4,".263",".284","0.692","11",".252",".297",".282","66.8","85.5",34.3,3.8,5.3,6.5,24.9,"95.659056327","91.830379974",14.4,57,"4.29","28.4"
"Harper, Bryce",547180,2024,31,631,21.9,12,".285",".373","0.898","18",".267",".380",".357","74.1","91.1",36.1,10.6,9.6,2.7,48.2,"102.531835097","95.63882949",26.7,52.9,"4.42","27.4"
"Guillorme, Luis",641645,2024,29,187,19.3,12.3,".205",".301","0.574","7",".223",".263",".279","64.9","85.5",32.8,2.3,3.1,3.1,21.1,"94.424899375","91.273931654",18.9,42.3,"4.67","24.7"
"Casas, Triston",671213,2024,24,243,31.7,12.3,".241",".337","0.799","6",".219",".342",".330","74.6","90.2",35.6,13.3,7.4,5.9,45.2,"101.435410588","95.112485926",32.2,44.5,"4.72","24.1"
"Blackmon, Charlie",453568,2024,37,499,17.2,8.6,".256",".329","0.741","4",".249",".323",".306","67.4","84.8",34.1,5.2,4.4,4.7,27.2,"96.083583591","92.106050111",19.2,48,"4.35","27.4"
"Wendzel, Davis",673995,2024,27,49,24.5,2,".128",".163","0.397","1",".198",".176",".263","71.9","85.4",25.7,8.6,5.7,5.7,28.6,"97.160134118","92.678413235",26.1,51.8,"4.56","27.2"
"Vosler, Jason",613564,2024,30,30,30,6.7,".179",".233","0.519","0",".232",".229",".301","71","92.6",42.1,15.8,10.5,0,42.1,"98.703699","94.544055263",27.4,51.7,,"26.7"
"DeLuca, Jonny",676356,2024,25,362,21.3,6.6,".217",".278","0.609","1",".230",".269",".272","70.8","84.6",32.7,3.9,4.7,5.8,28,"96.24111608","92.14905868",24,53.8,"4.22","29.8"
"Langford, Wyatt",694671,2024,22,557,20.6,9.2,".253",".325","0.740","6",".257",".321",".331","74.5","89.6",31.3,9.3,6.5,4.1,43.4,"101.211098854","94.807365599",22.9,42.8,"4.25","29.8"
"Dingler, Dillon",693307,2024,25,87,34.5,3.4,".167",".195","0.505","2",".241",".217",".280","71.6","89.8",35.2,3.7,11.1,5.6,48.1,"101.096169259","95.065989815",28.7,54.7,"4.52","27.5"
"Lowe, Josh",666139,2024,26,387,31.8,8.3,".241",".302","0.693","2",".228",".299",".295","73.3","90.8",37.9,10.3,6.5,0.9,46.1,"100.893361034","94.928910905",31.9,51.6,"4.26","28.4"
"White, Eli",642201,2024,30,42,28.6,2.4,".282",".333","0.769","1",".205",".335",".263","71","88.7",25.9,11.1,3.7,7.4,48.1,"99.471683846","94.374258846",21.8,48.8,,"29.6"
"Velázquez, Nelson",676369,2024,25,230,26.5,8.3,".200",".274","0.640","6",".214",".280",".304","73.4","88.2",29.9,8.8,6.8,4.8,38.1,"99.364038514","93.836443129",35.5,46.5,"4.48","27.5"
"Cave, Jake",595909,2024,31,346,28.3,5.2,".251",".290","0.686","6",".233",".295",".277","69.5","87.5",35.8,5.2,5.2,7,37.1,"98.314485398","93.366757022",28.2,52.6,"4.34","27.7"
"Seager, Corey",608369,2024,30,533,18,9.9,".278",".353","0.865","8",".289",".365",".390","72.3","92.1",38.6,15.2,9.7,1.8,50.7,"103.274395474","96.157523456",23.4,53,"4.76","25.3"
"Ramos, Heliot",671218,2024,24,518,26.1,7.1,".269",".322","0.791","12",".250",".339",".338","75.2","91.5",34.3,14.5,5.5,4.1,47.5,"102.620742924","95.895956716",28.7,50.3,"4.45","27.9"
"Dezenzo, Zach",701305,2024,24,65,33.8,4.6,".242",".277","0.648","3",".223",".283",".298","75.4","87.5",30,10,7.5,7.5,40,"101.2727945","94.7258265",31.7,51.4,"4.45","28.3"
"Verdugo, Alex",657077,2024,28,621,15,7.9,".233",".291","0.647","14",".250",".283",".302","68.4","88.3",31.6,5.6,6.1,3.6,34.9,"98.009613263","93.0881338",15.5,44.7,"4.38","26.7"
"Perdomo, Geraldo",672695,2024,24,388,14.9,9.3,".273",".344","0.718","5",".231",".317",".281","66.9","87",28.9,3.1,3.1,7.2,25.8,"96.084793623","92.044093913",12.2,40.5,"4.5","27.0"
"Hinds, Rece",677956,2024,23,51,31.4,7.8,".261",".333","1.050","0",".245",".433",".386","75.2","91.6",40,20,0,3.3,40,"103.769788","95.989862667",38.2,55.7,,"29.2"
"Narváez, Omar",553882,2024,32,69,17.4,4.3,".154",".191","0.376","2",".177",".171",".200","65.8","86.1",27.8,0,3.7,11.1,22.2,"95.079605769","91.719535686",16.5,51.7,,"23.1"
"Soderstrom, Tyler",691016,2024,22,213,24.9,9.4,".233",".315","0.744","7",".240",".322",".348","74.4","91.9",31.4,14.6,9.5,0.7,49.6,"102.485036087","95.728140219",30.1,48.7,"4.51","27.0"
"Rosario, Eguy",666703,2024,24,57,35.1,3.5,".245",".286","0.814","1",".196",".345",".274","72.5","89.2",41.2,14.7,5.9,5.9,47.1,"100.516977059","94.79073697",41.9,46.5,,"27.6"
"Kelly, Carson",608348,2024,29,313,17.6,8,".238",".313","0.687","6",".235",".304",".314","69.5","87.6",27.3,6.6,7.9,5.7,39.4,"98.979228142","93.591084867",22.8,45.5,"4.83","25.6"
"Mayo, Coby",691723,2024,22,46,47.8,8.7,".098",".196","0.294","1",".170",".152",".222","74.1","84.7",52.6,0,0,5.3,21.1,"94.919621","91.641905789",45.6,47.9,,"27.6"
"Gorman, Nolan",669357,2024,24,402,37.6,8.5,".203",".271","0.671","2",".209",".290",".307","73.2","88.5",40.3,16.7,5.1,4.6,38.6,"100.727790741","94.443953953",38.7,51,"4.42","26.2"
"Julien, Edouard",666397,2024,25,301,33.9,11,".199",".292","0.615","2",".197",".278",".287","71.9","87.8",38.4,9.8,7.9,3.7,37.8,"98.889968415","93.491651402",30.9,40.6,"4.4","26.7"
"Marte, Noelvi",682622,2024,22,242,31,3.7,".210",".248","0.549","1",".225",".243",".268","73.1","87",33.5,6.5,6.5,4.5,36.1,"98.631095256","93.351013935",32.1,54.1,"4.43","28.8"
"Taylor, Michael A.",572191,2024,33,300,35,7.7,".193",".253","0.543","3",".204",".242",".270","74","89.3",31.4,11.6,1.7,8.1,40.1,"100.583164074","94.548357778",39.2,49.3,"4.3","28.5"
"Polanco, Jorge",593871,2024,30,468,29.3,9.8,".214",".297","0.653","16",".226",".288",".309","69.7","88.3",35.9,8.9,5.3,5.7,37.4,"99.204331655","93.755834657",28.1,44.8,"4.36","27.5"
"Rafaela, Ceddanne",678882,2024,23,571,26.4,2.6,".246",".274","0.664","8",".229",".286",".273","70.1","86.6",34.9,7.5,5,7,36.9,"98.205036294","93.166643181",33,61.9,"4.17","28.8"
"Knizner, Andrew",668800,2024,29,93,23.7,1.1,".167",".183","0.394","2",".232",".174",".248","70.3","87.3",33.3,4.3,5.8,5.8,34.8,"98.242582","93.279161304",27.3,55,"4.79","25.0"
